clothes_class,clothing_path,R_median,G_median,B_median
skirt,clothing-dataset-small/skirt/78b7da73-ca6c-4e99-b88d-a9f358e7f0f2.jpg,136,154,136
skirt,clothing-dataset-small/skirt/c763b1d1-ed61-4545-b740-501363ca613f.jpg,195,66,195
skirt,clothing-dataset-small/skirt/104b1054-3d95-4738-8199-d4b0581e735f.jpg,33,35,33
skirt,clothing-dataset-small/skirt/77cd4632-d981-4254-9134-08e44dab9834.jpg,130,145,130
skirt,clothing-dataset-small/skirt/7e77ec6d-2bd6-45c7-9904-cf1fae288afc.jpg,28,34,28
skirt,clothing-dataset-small/skirt/6fb5a560-4000-43f6-b656-f61cf0a8649e.jpg,77,69,77
skirt,clothing-dataset-small/skirt/84ae684a-cb1c-46e7-ba47-b6519e4f0d51.jpg,48,54,48
skirt,clothing-dataset-small/skirt/011ecf12-aab1-4c72-8f77-2649386cd23b.jpg,214,83,214
skirt,clothing-dataset-small/skirt/567298c6-e892-4aa3-bac6-4f8993ee23c0.jpg,38,39,38
skirt,clothing-dataset-small/skirt/f66f8334-fa7c-44fb-a9db-2f4b0b407cf0.jpg,197,191,197
skirt,clothing-dataset-small/skirt/4845b1d5-2535-43d8-90b0-dbc10002bcb8.jpg,209,25,209
skirt,clothing-dataset-small/skirt/c3310cf3-b4f0-4d4b-b616-8fdc930ce074.jpg,184,137,184
skirt,clothing-dataset-small/skirt/55808c24-c583-4bb5-91a1-6dca3056faf2.jpg,59,47,59
skirt,clothing-dataset-small/skirt/942987de-bfc1-41eb-be1e-e01d7f98f7a4.jpg,86,68,86
skirt,clothing-dataset-small/skirt/805a7767-cec7-4323-9a75-6c5c2024479d.jpg,68,69,68
skirt,clothing-dataset-small/skirt/2d758bb1-1a3b-4240-8fc0-ca9647ccba5d.jpg,73,74,73
skirt,clothing-dataset-small/skirt/389bb7fe-02a7-4db4-9daa-1604b5ca8cb1.jpg,168,161,168
skirt,clothing-dataset-small/skirt/84e4d60a-a684-4b88-b86e-dfac84cfac92.jpg,76,91,76
skirt,clothing-dataset-small/skirt/8a7353cf-f8e3-4a73-b72e-239ed04d4e2d.jpg,181,178,181
skirt,clothing-dataset-small/skirt/6da4653c-905d-4257-aa82-824afda0c0a5.jpg,42,43,42
skirt,clothing-dataset-small/skirt/cf9d6ed6-7325-425e-be2b-bb5a6bc43fbe.jpg,160,46,160
skirt,clothing-dataset-small/skirt/b524ee06-ab17-4e0f-8e79-40d12c275d92.jpg,117,110,117
skirt,clothing-dataset-small/skirt/f3307762-77ad-4bb0-b50a-c3d661dfa8b1.jpg,21,12,21
skirt,clothing-dataset-small/skirt/69d4e9dd-3176-413f-8bff-fa9f8129e01c.jpg,123,124,123
skirt,clothing-dataset-small/skirt/f1ff2780-2ab1-401f-8089-089b5dfa1cf2.jpg,100,95,100
skirt,clothing-dataset-small/skirt/ec1fbb96-442d-42b3-a5d1-46bd1d86bc24.jpg,16,150,16
skirt,clothing-dataset-small/skirt/8d173264-bc7d-4175-8130-711c94d3f1ca.jpg,32,42,32
skirt,clothing-dataset-small/skirt/12f6208b-331e-4257-bcfe-bb48f8c924aa.jpg,35,33,35
skirt,clothing-dataset-small/skirt/3ac953dd-31fb-461f-8bbd-7802397cc392.jpg,81,71,81
skirt,clothing-dataset-small/skirt/9e530520-3973-44d0-b630-e213c809b854.jpg,89,87,89
skirt,clothing-dataset-small/skirt/0570064d-b6cf-48a5-a703-f217d8a38333.jpg,121,111,121
skirt,clothing-dataset-small/skirt/c938f1ac-6e47-41a9-8546-9ca7c27477aa.jpg,99,41,99
skirt,clothing-dataset-small/skirt/f9c7e0bc-dfde-4720-b6bd-64bfeb2c55fa.jpg,107,94,107
skirt,clothing-dataset-small/skirt/740e3cc1-3b71-454d-9fc9-6cff9a46f3b2.jpg,180,45,180
skirt,clothing-dataset-small/skirt/667a7349-f0a7-43bc-bb70-246b61e6354b.jpg,158,163,158
skirt,clothing-dataset-small/skirt/628d1234-90c7-41fd-b761-2697b5b528c9.jpg,127,119,127
skirt,clothing-dataset-small/skirt/7ec3c84f-6c41-40bf-8248-f89846c6be6c.jpg,149,114,149
skirt,clothing-dataset-small/skirt/910268c2-a132-4d25-80b1-59812c52e65c.jpg,145,146,145
skirt,clothing-dataset-small/skirt/637a56e4-7fa6-4f75-8859-0f8902461554.jpg,41,41,41
skirt,clothing-dataset-small/skirt/cec644db-b07c-4420-8199-f5bdd8ea3f83.jpg,139,156,139
skirt,clothing-dataset-small/skirt/02341619-2fa3-42d4-bb5e-689518228e67.jpg,139,154,139
skirt,clothing-dataset-small/skirt/ea6195ca-94fd-4ffa-b133-81f56df1d446.jpg,26,28,26
skirt,clothing-dataset-small/skirt/978f5148-3c6b-4393-9d12-df98d51b8881.jpg,9,24,9
skirt,clothing-dataset-small/skirt/6f7e039f-85a2-47dd-9cc2-b2cbd64367a5.jpg,30,30,30
skirt,clothing-dataset-small/skirt/e352b5ea-5975-486d-bd66-82bb5aafec9d.jpg,181,173,181
skirt,clothing-dataset-small/skirt/a12ecb02-bca3-4253-b3fd-e3d19765f770.jpg,110,115,110
skirt,clothing-dataset-small/skirt/e3d30ea5-976b-45a8-a1e4-0fbcc7a045c2.jpg,169,161,169
skirt,clothing-dataset-small/skirt/8b2ef33f-4b74-4967-9b9e-42345b599397.jpg,203,203,203
skirt,clothing-dataset-small/skirt/48895e87-ae51-4c7e-98ae-2855991264d1.jpg,138,111,138
skirt,clothing-dataset-small/skirt/ee0fde64-aac5-4904-a8df-921864d7c01c.jpg,33,33,33
skirt,clothing-dataset-small/skirt/9fcc508a-3a8a-4321-8016-0f734fd13700.jpg,221,45,221
skirt,clothing-dataset-small/skirt/55ffc997-f56f-4b2d-b57f-2d25956d5c74.jpg,65,69,65
skirt,clothing-dataset-small/skirt/781887ea-b7fd-4271-9b7d-8b372badfacf.jpg,158,158,158
skirt,clothing-dataset-small/skirt/70045b01-b350-4918-be74-2f627290ad7a.jpg,173,157,173
skirt,clothing-dataset-small/skirt/bc34145a-3844-4c08-a7a2-c45321541f57.jpg,173,128,173
skirt,clothing-dataset-small/skirt/f8b84112-9110-4628-91e8-9d22a13767f3.jpg,15,27,15
skirt,clothing-dataset-small/skirt/d44c49f4-e694-4ee6-a839-1579543b8e04.jpg,190,197,190
skirt,clothing-dataset-small/skirt/038e4976-e75f-452e-bccc-2ebb5d5c0e0a.jpg,94,25,94
skirt,clothing-dataset-small/skirt/49e9555c-f96e-4887-90e5-036b4d908c64.jpg,214,65,214
skirt,clothing-dataset-small/skirt/ecf2db5b-2a36-4716-8a06-85c6f33e6b08.jpg,44,47,44
skirt,clothing-dataset-small/skirt/125472d8-0f0a-4d45-b531-fb87a9d9d95e.jpg,160,128,160
skirt,clothing-dataset-small/skirt/0f8c39ba-e2b1-4c94-be5e-6ac2d924f7ed.jpg,113,148,113
longsleeve,clothing-dataset-small/longsleeve/5c1b7a77-1fa3-4af8-9722-cd38e45d89da.jpg,223,215,223
longsleeve,clothing-dataset-small/longsleeve/d9e84490-185d-48f9-ac16-4ef3360616d5.jpg,49,79,49
longsleeve,clothing-dataset-small/longsleeve/8f576f1a-839d-4fb2-a224-a4700b2d05da.jpg,225,89,225
longsleeve,clothing-dataset-small/longsleeve/bbf0d9c7-663d-46d1-a9f8-66e8e5678541.jpg,159,159,159
longsleeve,clothing-dataset-small/longsleeve/049e77f5-2a28-457a-9d27-2edb3da2fd7f.jpg,75,95,75
longsleeve,clothing-dataset-small/longsleeve/cd6ff00a-3441-4977-a35b-7935cd4331c0.jpg,185,163,185
longsleeve,clothing-dataset-small/longsleeve/4338519e-515a-46e2-8443-4d3213426d2e.jpg,6,8,6
longsleeve,clothing-dataset-small/longsleeve/e6abee3d-9e61-4f3f-b523-3f1a1264ab8f.jpg,147,141,147
longsleeve,clothing-dataset-small/longsleeve/bfb072bd-4378-47d5-ad94-e11e367fbdd0.jpg,77,71,77
longsleeve,clothing-dataset-small/longsleeve/bd80bf28-cacb-438c-af31-8ffd7c557a9a.jpg,96,94,96
longsleeve,clothing-dataset-small/longsleeve/29e42d8d-ea01-40d3-b82b-002c4343ed93.jpg,150,153,150
longsleeve,clothing-dataset-small/longsleeve/78d2f207-515d-4252-83df-7a3a4fe179cf.jpg,114,107,114
longsleeve,clothing-dataset-small/longsleeve/a36dc7ad-29ab-4c1f-9701-45143aeb5424.jpg,67,68,67
longsleeve,clothing-dataset-small/longsleeve/2b41ceef-e71c-4229-86fc-e7b50a6ef8c5.jpg,161,160,161
longsleeve,clothing-dataset-small/longsleeve/f6943183-e0e0-4b1b-a11b-451941bc523f.jpg,19,28,19
longsleeve,clothing-dataset-small/longsleeve/5af25198-5449-4f01-8155-21192662397c.jpg,160,153,160
longsleeve,clothing-dataset-small/longsleeve/38bf9790-f653-453b-96b4-72a298413eb7.jpg,66,51,66
longsleeve,clothing-dataset-small/longsleeve/893c3f24-4bd7-45bc-995f-cb85847c92c5.jpg,220,215,220
longsleeve,clothing-dataset-small/longsleeve/d6f795ec-6296-42b7-99a4-705121546943.jpg,95,94,95
longsleeve,clothing-dataset-small/longsleeve/06c96380-f7bc-46ca-a3fc-9288181f1f69.jpg,48,44,48
longsleeve,clothing-dataset-small/longsleeve/0142c777-baf8-4500-add9-6641b95b90ec.jpg,90,148,90
longsleeve,clothing-dataset-small/longsleeve/107dd572-7136-4eac-a255-1883467e6a62.jpg,60,92,60
longsleeve,clothing-dataset-small/longsleeve/cafa5744-0273-438b-8a52-cb294c13ac42.jpg,14,50,14
longsleeve,clothing-dataset-small/longsleeve/0e20abb0-d56a-4f83-b254-9db70fb92794.jpg,49,46,49
longsleeve,clothing-dataset-small/longsleeve/55642545-7055-4b8b-aa89-a2cf4233016e.jpg,165,136,165
longsleeve,clothing-dataset-small/longsleeve/1823c84a-dc6f-4edc-ae75-b54303132369.jpg,61,26,61
longsleeve,clothing-dataset-small/longsleeve/17a8b1aa-5aaa-47ac-8de1-5d2c9d0f83f1.jpg,176,177,176
longsleeve,clothing-dataset-small/longsleeve/2f891a3a-b53c-4619-92a0-51236080811c.jpg,172,26,172
longsleeve,clothing-dataset-small/longsleeve/4b59aac5-4659-4d41-bdb1-b18f413f70fc.jpg,143,150,143
longsleeve,clothing-dataset-small/longsleeve/582f7f10-e2bb-4cc4-9fb7-829e71dc0f02.jpg,154,186,154
longsleeve,clothing-dataset-small/longsleeve/07600f96-c7e5-4bfa-9fb7-e66e38aa66b9.jpg,84,84,84
longsleeve,clothing-dataset-small/longsleeve/fd24aa3a-2cce-49a4-b905-a8cd33f35d91.jpg,46,41,46
longsleeve,clothing-dataset-small/longsleeve/18e81896-42c0-495c-a8f0-41e7fc486411.jpg,61,54,61
longsleeve,clothing-dataset-small/longsleeve/7155bc52-d5f2-42a2-9caa-0f485a02f5bc.jpg,110,105,110
longsleeve,clothing-dataset-small/longsleeve/7231edea-0db3-491f-a8c8-69143254073d.jpg,123,104,123
longsleeve,clothing-dataset-small/longsleeve/71323829-c6af-441a-8bc0-01153fc5deeb.jpg,132,38,132
longsleeve,clothing-dataset-small/longsleeve/ec45b8c7-c0ad-4ef3-b548-d9166e3b4ac6.jpg,98,104,98
longsleeve,clothing-dataset-small/longsleeve/4e3ea56c-e4e4-4ac4-9981-3491f62a7815.jpg,127,121,127
longsleeve,clothing-dataset-small/longsleeve/21b775d5-45f8-4258-8b77-1cc6757c2a82.jpg,153,157,153
longsleeve,clothing-dataset-small/longsleeve/3b956cdc-695c-4ee9-bb33-a01136872221.jpg,26,26,26
longsleeve,clothing-dataset-small/longsleeve/b0fd4976-e666-4d48-bb49-193f6c93fd77.jpg,107,89,107
longsleeve,clothing-dataset-small/longsleeve/d2e3681b-28a2-4304-970f-0a20d5cedc8c.jpg,133,85,133
longsleeve,clothing-dataset-small/longsleeve/ae3aacb8-9841-410e-9feb-54f083c1222c.jpg,225,212,225
longsleeve,clothing-dataset-small/longsleeve/5183e257-3970-4267-b96a-246e6053e920.jpg,41,58,41
longsleeve,clothing-dataset-small/longsleeve/d225b763-d20f-4045-999c-b9af8b794d64.jpg,159,157,159
longsleeve,clothing-dataset-small/longsleeve/668afec1-96d0-4080-8b98-77096adaa5f8.jpg,183,105,183
longsleeve,clothing-dataset-small/longsleeve/bfb69b55-3621-4f2a-aab5-bae002a7be1b.jpg,57,58,57
longsleeve,clothing-dataset-small/longsleeve/b1fc61c2-8686-41a0-9ffc-b68ea8e4f1cd.jpg,57,39,57
longsleeve,clothing-dataset-small/longsleeve/70bf54e7-fa1b-4e28-b41d-1fa460f6d05d.jpg,113,136,113
longsleeve,clothing-dataset-small/longsleeve/2b473d79-afbd-4027-ab68-4bc3f04d7569.jpg,50,66,50
longsleeve,clothing-dataset-small/longsleeve/e204f303-cd35-448f-b7cb-791b133efa4b.jpg,164,209,164
longsleeve,clothing-dataset-small/longsleeve/fc1241ee-8540-4321-ad77-6dfc2dff7802.jpg,145,27,145
longsleeve,clothing-dataset-small/longsleeve/ef4c1f5b-e2f5-4d5d-85e7-1ada6086d44c.jpg,27,27,27
longsleeve,clothing-dataset-small/longsleeve/93ffa333-f16e-4c9a-9b2c-4561413dfa32.jpg,32,30,32
longsleeve,clothing-dataset-small/longsleeve/1f56142e-9b39-4dc3-86ff-06fd5c7ee774.jpg,64,135,64
longsleeve,clothing-dataset-small/longsleeve/c6379bd4-f84a-40aa-b8db-8f5acd86ba6f.jpg,125,74,125
longsleeve,clothing-dataset-small/longsleeve/5ca1e689-1dae-48c3-9b8b-b47a3365cc01.jpg,45,49,45
longsleeve,clothing-dataset-small/longsleeve/93513387-9311-4246-980a-d91e35bab89b.jpg,94,176,94
longsleeve,clothing-dataset-small/longsleeve/f0b546b4-0181-4be5-9abc-e49d58c4ca0d.jpg,141,157,141
longsleeve,clothing-dataset-small/longsleeve/80ff8ff0-5ed4-4525-9a64-0ec71c42ad61.jpg,149,148,149
longsleeve,clothing-dataset-small/longsleeve/65059343-23ae-4f9a-8fca-872af5d9ed37.jpg,45,45,45
longsleeve,clothing-dataset-small/longsleeve/a1207d92-a535-4073-a23a-0ff84fd433a2.jpg,28,31,28
longsleeve,clothing-dataset-small/longsleeve/2e688422-7be9-415a-94e6-488065873b40.jpg,78,154,78
longsleeve,clothing-dataset-small/longsleeve/b2986b3e-4fc1-4eb4-85b3-8a6776b659e3.jpg,52,35,52
longsleeve,clothing-dataset-small/longsleeve/4bf111e5-8a3a-4ed8-a771-cbac8841552c.jpg,95,47,95
longsleeve,clothing-dataset-small/longsleeve/16ebb1d5-e781-49bc-8461-f2b1b9226c20.jpg,247,64,247
longsleeve,clothing-dataset-small/longsleeve/ac5bb666-2aa9-4f10-b94a-7df35c75ecd0.jpg,54,51,54
longsleeve,clothing-dataset-small/longsleeve/5a840d5b-f861-482c-9ea3-fc7a30f4834b.jpg,128,142,128
longsleeve,clothing-dataset-small/longsleeve/bca2c322-fe54-4240-8027-0c49ef6a7e74.jpg,30,27,30
longsleeve,clothing-dataset-small/longsleeve/82fb6d56-3878-40db-a274-2b4ed916a115.jpg,41,72,41
longsleeve,clothing-dataset-small/longsleeve/b1da2943-f33f-451d-ac26-2913d88d25c1.jpg,36,35,36
longsleeve,clothing-dataset-small/longsleeve/8b731182-43f2-4251-a2e6-eb0da3f34a06.jpg,178,183,178
longsleeve,clothing-dataset-small/longsleeve/4099acf4-21f3-434d-a10b-1bccad17039b.jpg,206,207,206
longsleeve,clothing-dataset-small/longsleeve/9cb4ce4d-ef89-4d46-9ed8-15aa572c8e3f.jpg,84,89,84
longsleeve,clothing-dataset-small/longsleeve/2d2b50e7-cf87-49fb-9981-c0e364005332.jpg,27,18,27
longsleeve,clothing-dataset-small/longsleeve/e1c0dde2-e9ef-42d0-a8b0-fff052011195.jpg,181,147,181
longsleeve,clothing-dataset-small/longsleeve/eb21f945-1035-463d-bd48-35b62d2cf288.jpg,114,37,114
longsleeve,clothing-dataset-small/longsleeve/e8b6735a-0334-47bf-968b-6881e35d13b8.jpg,128,128,128
longsleeve,clothing-dataset-small/longsleeve/5edb09de-3bc8-405d-bee9-f0286cea7ecf.jpg,53,51,53
longsleeve,clothing-dataset-small/longsleeve/7f17b410-d375-409e-b5b3-010122df5748.jpg,59,66,59
longsleeve,clothing-dataset-small/longsleeve/34c466b5-ad3e-431e-9fb3-6326fd4b1940.jpg,106,106,106
longsleeve,clothing-dataset-small/longsleeve/b24c37e0-2175-445b-9801-2fd517253f2b.jpg,99,22,99
longsleeve,clothing-dataset-small/longsleeve/cff2b443-f7ca-4771-8427-ebd1ccb7ddbd.jpg,144,143,144
longsleeve,clothing-dataset-small/longsleeve/a9a1fcae-51fe-4d0b-a11d-65313f68c473.jpg,133,125,133
longsleeve,clothing-dataset-small/longsleeve/cca05ed1-8b64-4904-976d-da3ccff51a00.jpg,67,22,67
longsleeve,clothing-dataset-small/longsleeve/16d5fbeb-bc4b-43ab-9bc6-89a385d42dd3.jpg,165,163,165
longsleeve,clothing-dataset-small/longsleeve/e459bd84-eac4-46c5-925b-6dcbc733460d.jpg,50,49,50
longsleeve,clothing-dataset-small/longsleeve/79c670d3-6f98-4ba2-a9b9-7ae9bfc53f61.jpg,86,28,86
longsleeve,clothing-dataset-small/longsleeve/3c9c2f96-3e55-4c75-9a21-bbbc6c7d96e7.jpg,127,126,127
longsleeve,clothing-dataset-small/longsleeve/576ea34f-b4e3-4269-b99d-e97343549a8a.jpg,36,31,36
longsleeve,clothing-dataset-small/longsleeve/14b030c6-7721-42c3-acdf-a4b2f9fad919.jpg,43,42,43
longsleeve,clothing-dataset-small/longsleeve/e4a2665e-3479-4890-aec0-fd531c555c97.jpg,132,108,132
longsleeve,clothing-dataset-small/longsleeve/c418c376-58bc-4937-a306-f438a1af347c.jpg,142,159,142
longsleeve,clothing-dataset-small/longsleeve/e5caf86d-ae4d-4cf0-8536-f98ef53e1a44.jpg,44,40,44
longsleeve,clothing-dataset-small/longsleeve/3a8bad5b-d630-4413-b5cf-badb68cbc2d0.jpg,206,197,206
longsleeve,clothing-dataset-small/longsleeve/11bd32f7-4455-4d17-9607-031854e8db1f.jpg,123,121,123
longsleeve,clothing-dataset-small/longsleeve/f87a55fb-2d0b-402b-b674-7c00a9aa4cd9.jpg,67,42,67
longsleeve,clothing-dataset-small/longsleeve/5103e71c-1a7c-4781-966e-4e4aa54514c7.jpg,157,162,157
longsleeve,clothing-dataset-small/longsleeve/ae36221d-b2d9-4508-ac54-fc74951133b8.jpg,196,145,196
longsleeve,clothing-dataset-small/longsleeve/86c39f2e-89cc-490b-a61b-b4ef2d762081.jpg,141,140,141
longsleeve,clothing-dataset-small/longsleeve/90ccc52e-83d2-4832-9072-30433381d208.jpg,46,42,46
longsleeve,clothing-dataset-small/longsleeve/a1d9f981-96b0-43e0-923b-d8a91274b6b3.jpg,62,39,62
longsleeve,clothing-dataset-small/longsleeve/e2b0031c-9917-4043-8dde-63bee7e4495b.jpg,22,27,22
longsleeve,clothing-dataset-small/longsleeve/dfbb223c-2199-4d6c-819a-ec884d3c5f45.jpg,136,136,136
longsleeve,clothing-dataset-small/longsleeve/252363a7-81a6-41dc-b468-e009177ff176.jpg,23,23,23
longsleeve,clothing-dataset-small/longsleeve/f74442f0-8a20-4b29-9221-38e11365ecb3.jpg,169,61,169
longsleeve,clothing-dataset-small/longsleeve/caa33042-e586-4f39-bd29-36d03ad5a89b.jpg,20,22,20
longsleeve,clothing-dataset-small/longsleeve/5805e9ba-176c-461b-87f7-ff400291d0fc.jpg,114,57,114
longsleeve,clothing-dataset-small/longsleeve/82bc7f17-9e89-4fc5-802b-3b3e54e7d303.jpg,153,149,153
longsleeve,clothing-dataset-small/longsleeve/1b499ee5-b290-43d5-ae17-05d5b38c4f9c.jpg,208,60,208
longsleeve,clothing-dataset-small/longsleeve/461d4185-cece-42e3-91f4-86a1331aab31.jpg,72,71,72
longsleeve,clothing-dataset-small/longsleeve/806c853c-6260-4757-a1e8-ffa772f7f2cf.jpg,133,134,133
longsleeve,clothing-dataset-small/longsleeve/961ce467-f444-4e04-8894-0c11d838d63b.jpg,126,107,126
longsleeve,clothing-dataset-small/longsleeve/d6931665-0329-4263-8574-c36b5764ea90.jpg,175,2,175
longsleeve,clothing-dataset-small/longsleeve/3ef69c02-2f8b-433a-9c42-ea2f7ee1c142.jpg,157,140,157
longsleeve,clothing-dataset-small/longsleeve/0098b1c0-bd39-41c2-a172-17066bc9fd26.jpg,216,215,216
longsleeve,clothing-dataset-small/longsleeve/9e19f45b-b7d4-4988-948b-0bcda7d83df7.jpg,162,143,162
longsleeve,clothing-dataset-small/longsleeve/357fd0d6-e474-4a40-a8fe-e80a6d5082f7.jpg,209,198,209
longsleeve,clothing-dataset-small/longsleeve/2116e249-2f93-4f3e-9fff-e55ea9464cd6.jpg,31,28,31
longsleeve,clothing-dataset-small/longsleeve/f000dafc-8ea1-4354-8c2b-afea5e07f354.jpg,144,136,144
longsleeve,clothing-dataset-small/longsleeve/098d55e4-996c-460c-811a-862d68ca9245.jpg,229,40,229
longsleeve,clothing-dataset-small/longsleeve/b7869275-b3e7-4af3-a86c-871e1c044866.jpg,93,118,93
longsleeve,clothing-dataset-small/longsleeve/1983f48a-882b-4bae-9eba-5f0373a317a7.jpg,191,167,191
longsleeve,clothing-dataset-small/longsleeve/e520d072-a907-4f7b-9ed1-3bb3bc085454.jpg,172,166,172
longsleeve,clothing-dataset-small/longsleeve/d164ed7b-853b-437f-aa37-096fc97c0e70.jpg,186,159,186
longsleeve,clothing-dataset-small/longsleeve/8f6822c3-862b-4126-9a35-585569aec240.jpg,178,52,178
longsleeve,clothing-dataset-small/longsleeve/dcc9ba78-0c23-47aa-8c87-f3285a5cb5f8.jpg,105,99,105
longsleeve,clothing-dataset-small/longsleeve/96fe57d0-2dff-4b05-9e7e-f9867878e236.jpg,84,109,84
longsleeve,clothing-dataset-small/longsleeve/43b09cd1-a863-40ff-91a4-6b33e39db7b4.jpg,47,90,47
longsleeve,clothing-dataset-small/longsleeve/d9c392bc-d12b-4bba-824e-4730765ff0ed.jpg,105,40,105
longsleeve,clothing-dataset-small/longsleeve/b280d5e4-89ff-4025-ad7e-beff5f6813e9.jpg,22,25,22
longsleeve,clothing-dataset-small/longsleeve/4eec8a60-15db-46d0-86b4-04e3cd8e75f8.jpg,153,151,153
